entry_index,entry_timestamp,entry_price,entry_signal,entry_equity,notional,entry_commission,exit_index,exit_timestamp,exit_price,exit_commission,gross_pnl,net_pnl,return_pct,duration
1,2019-11-28,150.427332,-1,10000.0,2000.0,0.6,2,2019-11-29,154.4640435,0.6,-53.66992083592888,-54.86992083592888,-0.005486992083592888,86400.0
3,2019-11-30,151.432983,1,9945.130079164072,1989.0260158328144,0.5967078047498443,5,2019-12-02,148.5379935,0.5967078047498443,-38.02480355988792,-39.21821916938761,-0.00394345964881377,172800.0
6,2019-12-03,147.048515,-1,9905.911859994683,1981.1823719989368,0.594354711599681,46,2020-01-12,146.6212995,0.594354711599681,5.755867834807751,4.567158411608389,0.0004610538107100461,3456000.0
47,2020-01-13,143.630253,1,9910.479018406291,1982.0958036812583,0.5946287411043775,102,2020-03-08,199.470161,0.5946287411043775,770.5900742564833,769.4008167742745,0.07763507852095752,4752000.0
103,2020-03-09,202.948943,-1,10679.879835180565,2135.975967036113,0.6407927901108339,143,2020-04-18,187.545618,0.6407927901108339,162.11531593168527,160.8337303514636,0.015059507488245477,3456000.0
144,2020-04-19,180.0329895,1,10840.713565532029,2168.142713106406,0.6504428139319217,283,2020-09-05,334.73280250000005,0.6504428139319217,1863.054505768087,1861.7536201402231,0.17173718398571616,12009600.0
284,2020-09-06,352.5665585,-1,12702.467185672253,2540.4934371344507,0.7621480311403351,329,2020-10-21,391.096836,0.7621480311403351,-277.63812182351154,-279.1624178857922,-0.02197702334556498,3888000.0
330,2020-10-22,414.5350365,1,12423.30476778646,2484.660953557292,0.7453982860671875,543,2021-05-23,2095.8961795,0.7453982860671875,10077.826994101519,10076.336197529385,0.8110833941430184,18403200.0
544,2021-05-24,2648.3427555000003,-1,22499.640965315844,4499.928193063169,1.3499784579189504,610,2021-07-29,2383.2838575,1.3499784579189504,450.37448625386423,447.67452933802633,0.019896963246130713,5702400.0
611,2021-07-30,2462.581602,1,22947.31549465387,4589.463098930774,1.3768389296792323,663,2021-09-20,2977.2975810000003,1.3768389296792323,959.2656706815304,956.5119928221719,0.041682958211169165,4492800.0
664,2021-09-21,2764.512082,-1,23903.827487476043,4780.765497495208,1.4342296492485624,687,2021-10-14,3795.5179665000005,1.4342296492485624,-1782.9538139570086,-1785.8222732555057,-0.07470863292462905,1987200.0
688,2021-10-15,3874.0654485000005,1,22118.00521422054,4423.601042844108,1.3270803128532322,744,2021-12-10,3894.5864175,1.3270803128532322,23.43186532992571,20.777704704219246,0.0009394022879993012,4838400.0
